ts,app,node,pg,inst
19:00:39.924,0,0,0,0
19:00:40.363,0,0,0,0
19:00:40.812,0,0,0,0
19:00:41.240,0,0,0,0
19:00:41.670,0,0,0,0
19:00:42.101,0,0,0,0
19:00:42.514,0,0,0,0
19:00:42.941,0,0,0,0
19:00:43.381,0,0,0,0
19:00:43.803,0,0,0,0
19:00:44.229,0,0,0,0
19:00:44.661,0,0,0,0
19:00:45.090,0,0,0,0
19:00:45.515,0,0,0,0
19:00:45.936,0,0,0,0
19:00:46.372,0,0,0,0
19:00:46.804,0,0,0,0
19:00:47.230,0,0,0,0
19:00:47.664,0,0,0,0
19:00:48.079,0,0,0,0
19:00:48.513,0,0,0,0
19:00:48.951,0,0,0,0
19:00:49.365,0,0,0,0
19:00:49.795,0,0,0,0
19:00:50.226,0,0,0,0
19:00:50.652,0,0,0,0
19:00:51.073,0,0,0,0
19:00:51.510,0,0,0,0
19:00:51.939,0,0,0,0
19:00:52.360,0,0,0,0
19:00:52.780,0,0,0,0
19:00:53.208,0,0,0,0
19:00:53.636,0,0,0,0
19:00:54.054,0,0,0,0
19:00:54.471,0,0,0,0
19:00:54.903,0,0,0,0
19:00:55.336,0,0,0,0
19:00:55.755,0,0,0,0
19:00:56.179,0,0,0,0
19:00:56.602,0,0,0,0
19:00:57.028,0,0,0,0
19:00:57.467,0,0,0,0
19:00:57.894,0,0,0,0
19:00:58.338,0,0,0,0
19:00:58.761,0,0,0,0
19:00:59.200,0,0,0,0
19:00:59.634,0,0,0,0
19:01:00.055,0,0,0,0
19:01:00.478,0,0,0,0
19:01:00.891,0,0,0,0
19:01:01.314,1,0,0,0
19:01:01.731,1,0,0,0
19:01:02.244,1,0,0,0
19:01:02.669,1,0,0,0
19:01:03.081,1,0,0,0
19:01:03.493,1,0,0,0
19:01:03.908,1,2,0,0
19:01:04.374,1,2,0,0
19:01:04.797,1,2,0,0
19:01:05.255,1,2,0,0
19:01:05.672,1,2,0,0
19:01:06.094,1,2,0,0
19:01:06.516,1,2,0,0
19:01:06.932,1,2,0,0
19:01:07.350,1,2,0,0
19:01:07.771,1,2,0,0
19:01:08.197,1,2,0,0
19:01:08.614,1,2,0,0
19:01:09.032,1,2,0,0
19:01:09.455,1,2,0,0
19:01:09.873,1,2,0,0
19:01:10.278,1,2,0,0
19:01:10.700,1,2,0,0
19:01:11.119,1,2,0,0
19:01:11.532,1,2,0,0
19:01:11.952,1,2,0,0
19:01:12.372,1,2,0,0
19:01:12.792,1,2,0,0
19:01:13.210,1,2,0,0
19:01:13.631,1,2,0,0
19:01:14.046,1,2,0,0
19:01:14.452,1,2,0,0
19:01:14.871,1,2,0,0
19:01:15.292,1,2,0,0
19:01:15.710,1,2,0,0
19:01:16.128,1,2,0,0
19:01:16.548,1,2,0,0
19:01:16.969,1,2,0,0
19:01:17.386,1,2,0,0
19:01:17.804,1,2,0,0
19:01:18.224,1,2,0,0
19:01:18.658,1,2,0,0
19:01:19.082,1,2,0,0
19:01:19.501,1,2,0,0
19:01:19.919,1,2,0,0
19:01:20.329,1,2,9,0
19:01:20.755,1,2,9,0
19:01:21.172,1,2,9,0
19:01:21.591,1,2,9,0
